timeElapsed,angle,buzzerOn
82575.0,-2.69,0
82863.0,-0.67,0
83151.0,-2.02,0
83439.0,-2.0,0
83726.0,-2.0,0
84014.0,-1.33,0
84301.0,-2.02,0
84589.0,-1.33,0
84876.0,-2.73,0
85164.0,-1.33,0
85452.0,-2.02,0
85740.0,-0.67,0
86027.0,-1.97,0
86315.0,-1.36,0
86602.0,-2.0,0
86890.0,0.0,0
87176.0,-0.69,0
87464.0,-1.33,0
87752.0,-0.67,0
88040.0,-2.0,0
88327.0,-2.05,0
88615.0,-0.66,0
88903.0,-2.05,0
89189.0,-1.97,0
89477.0,-3.9,0
89765.0,-1.35,0
90053.0,0.0,0
90339.0,-2.76,0
90627.0,-4.65,0
90915.0,-2.66,0
91203.0,-1.33,0
91489.0,-3.95,0
91777.0,-1.33,0
92065.0,0.0,0
92352.0,-1.36,0
92639.0,-1.32,0
92927.0,-3.95,0
93215.0,-1.95,0
93502.0,-0.67,0
93789.0,-1.36,0
94077.0,-1.33,0
94365.0,-0.66,0
94653.0,-1.33,0
94940.0,-0.68,0
95228.0,-2.07,0
95515.0,-2.66,0
95802.0,-2.05,0
96090.0,-2.02,0
96378.0,-2.69,0
96666.0,-1.33,0
96953.0,-2.63,0
97241.0,-0.67,0
97529.0,-2.02,0
97816.0,-2.66,0
98103.0,-2.0,0
98391.0,-0.67,0
98679.0,-2.02,0
98967.0,-0.67,0
99254.0,-2.66,0
99542.0,-2.69,0
99830.0,-2.66,0
100117.0,-1.97,0
100404.0,-2.07,0
100692.0,-2.05,0
100980.0,-2.0,0
101268.0,0.0,0
101554.0,-2.0,0
101842.0,-2.69,0
102130.0,-2.66,0
102418.0,-2.05,0
102704.0,-2.66,0
102992.0,-2.66,0
103280.0,-0.67,0
103567.0,-0.67,0
103855.0,-3.33,0
104143.0,-1.32,0
104431.0,0.0,0
104717.0,-2.02,0
105004.0,-1.35,0
105292.0,-2.02,0
105580.0,-2.02,0
105867.0,-1.33,0
106155.0,-1.33,0
106443.0,-1.33,0
106731.0,-2.69,0
107018.0,-1.35,0
107306.0,-0.67,0
107593.0,-0.68,0
107881.0,-2.0,0
108168.0,-1.36,0
108456.0,-2.66,0
108744.0,-2.0,0
109032.0,-2.0,0
109319.0,-2.63,0
109607.0,-2.02,0
109894.0,-2.69,0
110181.0,0.0,0
110468.0,-3.37,0
110756.0,-0.67,0
